epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.84768,2.37371,3.54896,2.09544,0.00237,0.35714,0.00198,0.00041,2.47639,3.86039,2.29415,0.000444533,0.000444533,0.000444533
2,3.93519,2.27078,3.61142,2.20891,0.00237,0.35714,0.00198,0.00041,2.47639,3.86039,2.29415,0.000960592,0.000960592,0.000960592
3,6.22292,2.17447,3.63017,2.04573,0.00237,0.35714,0.00198,0.00041,2.47639,3.86039,2.29415,0.00143264,0.00143264,0.00143264
4,8.90789,2.20545,3.50856,2.05804,0.00237,0.35714,0.00198,0.00041,2.47639,3.86039,2.29415,0.00146896,0.00146896,0.00146896
5,11.8173,2.20868,3.60234,2.06151,0.00237,0.35714,0.00198,0.00041,2.47639,3.86039,2.29415,0.00140295,0.00140295,0.00140295
6,14.371,2.30835,3.66189,2.14427,0.00237,0.35714,0.00198,0.00041,2.47639,3.86039,2.29415,0.00133693,0.00133693,0.00133693
7,17.0992,2.19197,3.57975,2.27659,0.00405,0.5,0.16162,0.02395,2.47687,4.08292,2.59334,0.00127092,0.00127092,0.00127092
8,19.5709,2.47821,3.47078,2.47381,0.00405,0.5,0.16162,0.02395,2.47687,4.08292,2.59334,0.00120491,0.00120491,0.00120491
9,22.0926,2.74726,3.51545,2.52391,0.00405,0.5,0.16162,0.02395,2.47687,4.08292,2.59334,0.00113889,0.00113889,0.00113889
10,24.997,2.58794,3.50824,2.42325,0.00405,0.5,0.16162,0.02395,2.47687,4.08292,2.59334,0.00107288,0.00107288,0.00107288
11,27.4391,2.74691,3.56646,2.64548,0.00405,0.5,0.16162,0.02395,2.47687,4.08292,2.59334,0.00100687,0.00100687,0.00100687
12,30.0912,2.50991,3.51434,2.39833,0.00405,0.5,0.16162,0.02395,2.47687,4.08292,2.59334,0.000940855,0.000940855,0.000940855
13,32.4104,2.23726,3.21729,1.9715,0.00394,0.42857,0.17306,0.05536,2.3293,3.9621,2.03397,0.000874842,0.000874842,0.000874842
14,34.8049,2.28354,3.29203,1.92943,0.00394,0.42857,0.17306,0.05536,2.3293,3.9621,2.03397,0.000808828,0.000808828,0.000808828
15,37.2625,2.00791,3.51358,1.80615,0.00394,0.42857,0.17306,0.05536,2.3293,3.9621,2.03397,0.000742815,0.000742815,0.000742815
16,39.3684,2.33653,3.22497,1.98883,0.00394,0.42857,0.17306,0.05536,2.3293,3.9621,2.03397,0.000676802,0.000676802,0.000676802
17,41.7581,2.37088,3.29489,2.12717,0.00394,0.42857,0.17306,0.05536,2.3293,3.9621,2.03397,0.000610789,0.000610789,0.000610789
18,44.293,2.34601,3.4841,2.10261,0.00394,0.42857,0.17306,0.05536,2.3293,3.9621,2.03397,0.000544776,0.000544776,0.000544776
19,47.127,2.08356,3.14427,1.94295,0.85036,0.17204,0.33248,0.1299,2.13515,3.53029,2.11124,0.000478762,0.000478762,0.000478762
20,49.6097,2.0226,2.72848,2.03349,0.85036,0.17204,0.33248,0.1299,2.13515,3.53029,2.11124,0.000412749,0.000412749,0.000412749
21,52.4156,1.94709,2.7444,1.88907,0.85036,0.17204,0.33248,0.1299,2.13515,3.53029,2.11124,0.000346736,0.000346736,0.000346736
22,55.1632,2.0681,2.70247,1.96644,0.85036,0.17204,0.33248,0.1299,2.13515,3.53029,2.11124,0.000280723,0.000280723,0.000280723
23,57.6134,2.05707,2.89671,1.93923,0.85036,0.17204,0.33248,0.1299,2.13515,3.53029,2.11124,0.00021471,0.00021471,0.00021471
24,59.8306,1.97215,3.00544,1.84813,0.85036,0.17204,0.33248,0.1299,2.13515,3.53029,2.11124,0.000148696,0.000148696,0.000148696
25,62.6507,1.95283,2.74166,1.75507,0.64213,0.39286,0.3935,0.21433,2.28784,3.26328,2.13962,8.26832e-05,8.26832e-05,8.26832e-05
