epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.13318,2.37719,3.54882,2.09926,0.00237,0.35714,0.00198,0.00041,2.47632,3.86041,2.29414,0.000444533,0.000444533,0.000444533
2,4.33976,2.27773,3.60768,2.20163,0.00237,0.35714,0.00198,0.00041,2.47632,3.86041,2.29414,0.000990298,0.000990298,0.000990298
3,6.94484,2.16638,3.63034,2.04848,0.00237,0.35714,0.00198,0.00041,2.47632,3.86041,2.29414,0.00152506,0.00152506,0.00152506
4,9.57024,2.20163,3.50729,2.05186,0.00237,0.35714,0.00198,0.00041,2.47632,3.86041,2.29414,0.00161749,0.00161749,0.00161749
5,12.1771,2.2023,3.59812,2.06225,0.00237,0.35714,0.00198,0.00041,2.47632,3.86041,2.29414,0.00160099,0.00160099,0.00160099
6,14.9205,2.31899,3.67653,2.15349,0.00237,0.35714,0.00198,0.00041,2.47632,3.86041,2.29414,0.00158448,0.00158448,0.00158448
7,18.1211,2.34327,3.57373,2.4098,0.00326,0.42857,0.00611,0.00079,2.35058,4.06968,2.40172,0.00156798,0.00156798,0.00156798
8,21.5108,2.64832,3.49099,2.56408,0.00326,0.42857,0.00611,0.00079,2.35058,4.06968,2.40172,0.00155148,0.00155148,0.00155148
9,24.5025,2.86864,3.5679,2.60522,0.00326,0.42857,0.00611,0.00079,2.35058,4.06968,2.40172,0.00153497,0.00153497,0.00153497
10,27.6438,2.85407,3.61977,2.66285,0.00326,0.42857,0.00611,0.00079,2.35058,4.06968,2.40172,0.00151847,0.00151847,0.00151847
11,30.4249,2.95398,3.58946,2.80683,0.00326,0.42857,0.00611,0.00079,2.35058,4.06968,2.40172,0.00150197,0.00150197,0.00150197
12,33.5477,2.75699,3.6169,2.57582,0.00326,0.42857,0.00611,0.00079,2.35058,4.06968,2.40172,0.00148546,0.00148546,0.00148546
13,36.4973,2.53389,3.17197,2.00239,0.00284,0.35714,0.02259,0.00985,3.4127,4.31111,2.50632,0.00146896,0.00146896,0.00146896
