epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9727,1.38954,3.37249,1.47185,0.0033,0.5,0.12017,0.03336,2.26269,3.82535,2.01552,0.00053344,0.00053344,0.00053344
2,23.7954,1.36537,3.07007,1.36707,0.00563,0.75,0.1222,0.05497,1.88682,3.84275,1.85082,0.00107114,0.00107114,0.00107114
3,36.1938,1.41549,2.99193,1.33142,0.15326,0.14286,0.0914,0.0271,2.14756,3.6484,2.10644,0.0015905,0.0015905,0.0015905
4,49.8693,1.45868,2.59896,1.29718,0.15326,0.14286,0.0914,0.0271,2.14756,3.6484,2.10644,0.00158448,0.00158448,0.00158448
5,60.7413,1.4578,2.36552,1.35397,0.68204,0.46429,0.42648,0.20775,2.20499,3.26746,2.43753,0.00155698,0.00155698,0.00155698
6,71.5605,1.48836,3.57632,1.38642,0.67936,0.31592,0.40217,0.12289,2.25171,3.12813,2.54501,0.00152947,0.00152947,0.00152947
7,82.2766,1.41881,2.53023,1.35465,0.61228,0.39286,0.39553,0.14922,2.31387,2.86406,2.50183,0.00150197,0.00150197,0.00150197
8,92.485,1.39032,2.69398,1.46769,0.58464,0.39286,0.3412,0.1643,2.27553,3.53975,2.39488,0.00147446,0.00147446,0.00147446
9,102.395,1.37837,1.93196,1.38755,0.58464,0.39286,0.3412,0.1643,2.27553,3.53975,2.39488,0.00144696,0.00144696,0.00144696
10,112.593,1.47781,2.02104,1.3941,0.69514,0.57729,0.56012,0.24757,2.28479,2.77459,2.52779,0.00141945,0.00141945,0.00141945
11,123.465,1.33994,2.11685,1.2954,0.57282,0.58929,0.48156,0.17013,2.23408,2.83694,2.82335,0.00139195,0.00139195,0.00139195
12,134.439,1.186,1.99875,1.18785,0.59962,0.39286,0.32751,0.16358,2.23896,3.99976,2.49773,0.00136444,0.00136444,0.00136444
13,145.838,1.20282,1.76632,1.23837,0.47949,0.39286,0.32286,0.16041,2.46666,4.18545,2.50471,0.00133693,0.00133693,0.00133693
14,156.326,1.17828,1.65388,1.20928,0.47949,0.39286,0.32286,0.16041,2.46666,4.18545,2.50471,0.00130943,0.00130943,0.00130943
15,166.479,1.018,3.03311,1.10878,0.60212,0.51441,0.49011,0.22612,2.17828,2.85624,2.25658,0.00128192,0.00128192,0.00128192
16,177.075,1.33013,1.78621,1.3175,0.73953,0.65509,0.55166,0.27322,2.01549,2.63433,2.09452,0.00125442,0.00125442,0.00125442
17,187.652,1.28294,1.7222,1.30273,0.67046,0.39286,0.35416,0.22814,2.24841,2.76084,2.38426,0.00122691,0.00122691,0.00122691
18,198.687,1.13981,1.71369,1.20372,0.67046,0.39286,0.35416,0.22814,2.24841,2.76084,2.38426,0.00119941,0.00119941,0.00119941
19,210.625,1.13964,1.581,1.20862,0.66301,0.39286,0.33173,0.21427,2.27957,3.54513,2.46445,0.0011719,0.0011719,0.0011719
20,221.89,1.01674,1.42382,1.11221,0.60375,0.46429,0.37536,0.2222,2.20594,3.43651,2.35795,0.0011444,0.0011444,0.0011444
21,232.46,1.11275,1.48793,1.20582,0.69063,0.48468,0.4947,0.24525,2.28448,3.21625,2.54921,0.00111689,0.00111689,0.00111689
22,242.844,0.98642,1.23596,1.07249,0.72271,0.44815,0.41988,0.19318,2.35805,3.26076,2.55342,0.00108938,0.00108938,0.00108938
23,254.088,1.10235,1.54855,1.19885,0.72271,0.44815,0.41988,0.19318,2.35805,3.26076,2.55342,0.00106188,0.00106188,0.00106188
24,266.099,1.02978,1.39932,1.12003,0.64956,0.53571,0.43822,0.20726,2.42541,2.97245,2.54341,0.00103437,0.00103437,0.00103437
